"Site_ID","Latitude","Longtiude","Cucurbita.maxima.Duchesne.acorn.squash","Allium.spp..L.","Alstroemeria.aurea.Graham","Eruca.vesicaria..L...Cav.","Asparagus.officinalis.L.","Cyanus.segetum.Hill.bachelors.button","Ocimum.basilicum.L.","Rubus.armeniacus.Focke","Brassica.rapa.L..bok.choy","Borago.officinalis.L.","Brassica.oleracea.var..italica.Plenck","Fagopyrum.esculentum.Moench","Ranunculus.acris.L.","Cucurbita.moschata.Duchesne.butternut.squash","Brassica.oleracea.L..cabbage","Calendula.officinalis.L.","Eschscholzia.californica.Cham.","Campanula.spp..L.","Cirsium.arvense..L...Scop.","Nepeta.spp..L.","Matricaria.chamomilla.L.","Cichorium.intybus.L.","Allium.schoenoprasum.L.","Coriandrum.sativum.L.","Trifolium.spp..L.","Brassica.oleracea.L..collard.greens","Symphytum.officinale.L.","Origanum.vulgare.L.","Zea.mays.L.","Cyanus.segetum.Hill.cornflower","Cosmos.bipinnatus.Cav.","Ranunculus.repens.L.","Crocosmia.spp.","Cucurbita.pepo.L..crookneck.squash","Cucumis.sativus.L.","Salvia.officinalis.L.","Thymus.vulgaris.L.","Sinapis.alba.L.","Dahlia.pinnata.Cav.","Taraxacum.officinale.F.H..Wigg.","Anethum.graveolens.L.","Solanum.melongena.L.","Sambucus.nigra.L.","Foeniculum.vulgare.Mill.","Convolvulus.arvensis.L.","Sinapis.spp..L.","Hypochaeris.radicata.L.","Digitalis.purpurea.L.","Fuchsia.spp..L.","Gaillardia.spp..Foug.","Allium.sativum.L.","Allium.tuberosum.Rottler.ex.Spreng.","Pelargonium spp. L'Her","Solanum.sarrachoides.Sendtn.","Prunella.vulgaris.L.","Lamium.amplexicaule.L.","Alcea.rosea.L.","Brassica.oleracea.L..kale","Chenopodium.album.L.","Lavandula.spp.","Melissa.officinalis.L.","Cucumis.sativus.L..lemon.cucumber","Lactuca.sativa.L.","Lupinus.spp..L.","Tagetes.erecta.L.","Origanum.majorana.L.","Mentha.spp..L.","Brassica.rapa.var..nipposinica..Bailey..Hanelt","Plantago.lanceolata.L.","Tropaeolum.majus.L.","Symphyotrichum.novae.angliae..L...G.L.Nesom","Solanum.spp..L.","Aster.sp..orange","Cucurbita.pepo.L..patty.pan","Pisum.sativum.L.","Capsicum.annuum.L.","Phacelia.tanacetifolia.Benth.","Phlox.paniculata.L.","Amaranthus.spp.","Phaseolus.coccineus.L..pole.bean","Papaver.somniferum.L.","Solanum.tuberosum.L.","Lactuca.serriola.L.","Cucurbita.pepo.L..pumpkin","Echinacea.purpurea..L...Moench","Salvia.nemorosa.L.","Cichorium.intybus.L..radicchio","Raphanus.raphanistrum.subsp..sativus..L...Domin","Rubus.idaeus.L.","Trifolium.pratense.L.","Rosa.spp..L.","Rosmarinus.officinalis.L.","Phaseolus.coccineus.L..scarlet.runner.bean","Capsella.bursa.pastoris..L...Medik.","Persicaria.maculosa.Gray","Antirrhinum.majus.L.","Mentha.spicata.L.","Cucurbita.spp.","Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier","Crassulaceae","Cucurbita.pepo.L..group","Helianthus.annuus.L.","Lobularia.maritima..L...Desv.","Ocimum.basilicum.L..thai.basil","Cirsium.spp..Mill.","Lilium.lancifolium.Thunb.","Callistephus.chinensis..L...Nees","Physalis.philadelphica.Lam.","Solanum.lycopersicum.L.","Brassica.rapa.L..tatsoi","Citrullus.lanatus..Thunb...Matsum....Nakai","Trifolium.repens.L.","Leucanthemum.vulgare..Vaill...Lam.","Cucurbita.maxima.Duchesne.group","Achillea.millefolium.L.","Zinnia.elegans.L.","Cucurbita.pepo.L..zucchini"
"site_1",47.75,-122.154,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0,0,0,4,0,0,1,70,0,0,0,0,2,0,0,72,2,0,0,0,0,0,68,0,0,0,0,0,0,3,0,1,0,0,10,6,0,0,0,0,0,0,15,0,0,3,0,0,10,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,7,14,0,20,0,8,23,0,6,0,4,0,0,1,0,0,4,0,0,0,2,0,0,3,0,0,0,9,0
"site_2",47.662,-122.639,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,250,34,0,0,0,0,0,0,42,0,57,0,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,73,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"site_3",47.57,-122.316,3,0,0,1,0,0,1,5,1,11,0,0,1,0,0,16,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,1,1,0,2,0,0,0,1,0,0,7,0,1,0,0,0,0,0,1,0,9,0,0,0,4,0,0,0,3,1,18,1,0,0,2,12,2,0,0,0,5,0,2,0,0,1,2,0,10,4,1,0,0,3,0,2,0,4,0,0,0,1,14,3,0,0,0,0,1,24,0,0,42,0,0,3,0,10
"site_4",47.589,-122.291,0,0,1,0,0,0,0,0,7,6,0,0,0,0,0,19,0,14,0,0,0,0,15,0,0,0,0,10,0,23,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,30,23,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,29,8,0,0,0,0,0,0,0,11,6,1,1,0,2,9,8,3,25,0,0,2,2,0,0,0,0,4,4,0,0,1,0,0,9,4,2
"site_5",47.057,-122.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,3,1,0,0,0,0,0,0,49,0,93,0,0,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"site_6",47.678,-121.949,0,0,0,0,0,0,1,0,0,17,0,0,44,0,0,71,0,0,0,0,0,4,2,31,0,0,0,0,0,8,0,6,0,0,0,4,1,0,0,6,12,0,0,10,4,0,0,0,0,0,0,0,0,0,313,32,0,0,12,3,0,1,0,0,9,13,0,0,0,15,0,0,0,0,39,0,10,0,313,2,0,0,4,0,0,0,0,0,0,6,0,0,0,3,0,26,7,0,0,0,0,15,3,0,0,0,0,8,0,0,0,0,0,0,0,9,11
"site_7",47.063,-122.926,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,7,0,0,1,0,22,0,44,0,0,0,0,0,0,0,6,0,0,0,99,88,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4,30
"site_8",48.543,-122.413,0,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,0,11,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,6,0,25,0,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
"site_9",46.801,-123.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,42,20,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,22,0,0,4,0,0,0,0,0,0,0,0,0,0,7,167,0,0,0,174,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,44
"site_10",48.471,-122.286,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,5,0,0,0,0,46,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,10,0,2,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,4,0
"site_11",47.642,-122.379,0,6,0,5,0,0,11,0,0,9,0,42,0,0,0,16,2,0,0,0,0,0,26,4,3,0,0,1,0,0,37,0,6,0,0,3,1,0,33,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,0,0,43,0,0,0,8,41,0,0,0,0,65,0,0,0,0,11,0,0,0,3,3,2,27,0,0,0,0,0,29,24,0,2,1,0,0,1,2,2,0,51,0,0,62,5,0,1,67,0,0,52,5,0,0,8,39,0,4,23
"site_12",47.056,-122.96,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,9,53,0,0,0,0,9,0,0,0,0,0,0,0,113,13,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,11,0,0,65,55,0,2,0,0,0,0,0,0,2,7,0,0,0,51,140,0,0,0,70,0,0,0,17,0,0,0,0,1,189,0,0,0,0,0,0,51,207
"site_13",47.562,-122.303,0,3,0,0,0,0,0,0,0,0,52,0,0,0,4,0,0,0,0,0,0,13,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,3,0,0,0,0,0,0,34,0,4,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,18,0,0,3,0,0,0,5,7,0,0,0,0,0,0,0,58,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"site_14",47.654,-122.393,0,2,0,9,0,3,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,4,3,0,0,4,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,2,0,0,0,5,13,0,0,1,0,8,0,0,0,0,0,1,0,0,0,16,6,4,0,0,0,1,0,9,15,0,0,3,0,0,0,0,0,0,26,8,0,2,0,1,0,0,0,1,40,0,0,0,0,0,0,1,8
"site_15",47.688,-122.254,0,1,0,5,0,5,0,0,0,1,0,0,25,0,0,19,0,0,0,0,0,0,7,4,0,0,0,1,4,0,7,0,0,0,0,1,3,0,0,2,0,0,0,4,0,0,0,0,1,0,3,0,1,0,7,0,0,3,0,8,1,0,0,7,1,3,0,5,0,24,0,0,0,0,8,2,4,2,0,3,1,0,3,0,0,0,0,5,4,0,8,0,0,0,1,0,4,0,24,0,0,1,0,0,5,0,0,3,8,0,0,0,8,0,1,37,8
"site_16",47.526,-122.333,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,16,30,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,69,0,0,0,7,26,0,6,0,0,0,0,0,0,31,9,0,0,0,28,3,0,0,0,0,0,4,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2
"site_18",47.543,-122.287,0,16,11,0,0,0,0,0,0,0,2,0,37,0,11,0,0,0,0,0,9,0,0,2,0,1,0,0,4,0,1,0,0,0,5,1,2,0,26,18,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,16,0,2,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,3,0,1,0,5,0,11,5,0,0,10,0,0,0,0,12
"site_19",47.039,-122.886,0,0,0,4,0,0,0,0,0,16,0,0,28,0,0,0,8,0,0,2,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,49,0,3,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,8,0,31,0,0,0,1,2,0,1,0,0,2,0,0,0,1,0,0,0,0,4,20,0,0,2,2,14,0,0,0,6,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
"site_20",47.686,-121.972,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,266,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,848,0,0,0,0,27,0,0,0,0,0,0,0,0,0,132,2,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"site_21",47.05,-122.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,117,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,6
"site_22",47.422,-122.468,0,0,0,1,0,0,0,6,0,0,8,46,12,2,0,4,0,0,0,0,0,3,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,7,0,78,41,0,32,32,3,0,0,0,5,0,0,0,0,0,74,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"site_23",47.671,-121.976,0,0,0,0,0,0,0,0,0,17,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,112,104,0,0,0,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,49,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0
"site_24",47.522,-122.259,0,0,0,0,12,0,0,0,0,1,15,3,12,0,0,0,0,0,0,2,2,0,1,0,5,1,0,14,0,0,0,0,0,2,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,25,21,0,0,0,0,0,0,0,0
"site_25",46.801,-123.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,31,1,0,0,0,0,0
"site_26",48.435,-122.394,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,30,400,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,49,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,127,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"site_27",47.57,-122.294,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,3,0,15,48,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,2,6,0,0,26,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,23,1,9,0,0,0,0,0,0,16,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,18,4,0,0,0,0,4,0,8
"site_28",47.301,-122.102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,403,49,0,0,2,0,0,0,0,0,0,1,0,0,0,99,4,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,15,0,0,0,0,3
"site_29",47.611,-121.937,0,0,0,0,0,0,0,0,0,0,15,60,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,2,0,28,0,0,4,13,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,45,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,14,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,23
"site_30",47.583,-121.916,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,1,0,0,0,5,16,3,0,0,0,0,0,0,43,0,7,0,2,52,0,0,0,7,0,0,0,0,0,67,0,0,0,0,0,102,0,0,0,0,0,0,0,35,7,0,0,0,0,0,0,0,0,0,4,15,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,11,7,0,0,0,0,85
"site_31",47.065,-122.984,0,0,0,0,0,0,0,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,5,9,0,0,23,0,0,10,0,0,0,0,18,0,15,0,0,28,0,0,4,3,0
"site_32",47.531,-122.283,0,0,0,0,0,0,3,0,0,0,47,0,76,0,23,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,17,0,0,0,11,11,0,0,0,0,0,0,0,34,0,0,0,0,0,1,5,0,0,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"site_33",48.461,-122.411,1,0,0,1,0,0,0,0,0,0,0,219,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,34,0,0,53,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,35,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
"site_34",47.049,-122.872,0,0,0,0,0,0,1,0,0,5,0,19,0,0,26,0,0,0,0,0,0,0,1,1,0,0,0,3,22,0,0,0,0,0,62,0,11,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,4,0,0,2,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,3,0,15,59,0,0,0,0,0,0,90,25,0,0,0,3,1,0,0,1,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,6,3,1,84
"site_35",47.225,-122.367,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,0,0,0,0,0,0,0,0,0,0,0,75,10,1,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,117,0,0,0,6,11,0,0,0,0,0,0,80,0,0,1,0,0,0,222,0,0,0,0,0,0,164,0
"site_36",46.807,-123.11,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,34,0,0,36,18,0,0,0,0,0,0,0,0,0,0,21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
