"Site_ID","Latitude","Longtiude","Alstroemeria.aurea.Graham","Agastache.foeniculum..Pursh..Kuntze","Eruca.vesicaria..L...Cav.","Borago.officinalis.L.","Brassica.oleracea.var..italica.Plenck","Fagopyrum.esculentum.Moench","Phaseolus.coccineus.L..bush.bean","Ranunculus.acris.L.","Calendula.officinalis.L.","Eschscholzia.californica.Cham.","Cirsium.arvense..L...Scop.","Nepeta.spp..L.","Stellaria.media..L...Vill.","Cichorium.intybus.L.","Allium.schoenoprasum.L.","Coriandrum.sativum.L.","Brassica.oleracea.L..collard.greens","Origanum.vulgare.L.","Cosmos.bipinnatus.Cav.","Trifolium.incarnatum.L.","Cucumis.sativus.L.","Salvia.officinalis.L.","Thymus.vulgaris.L.","Dahlia.pinnata.Cav.","Taraxacum.officinale.F.H..Wigg.","Anethum.graveolens.L.","Solanum.melongena.L.","Vicia.faba.L.","Hypochaeris.radicata.L.","Gladiolus.alatus.L.","Physalis.spp..L.","Solanum.sarrachoides.Sendtn.","Prunella.vulgaris.L.","Lamium.amplexicaule.L.","Geranium.robertianum.L.","Hyssopus.officinalis.L.","Brassica.oleracea.L..kale","Lavandula.spp.","Lactuca.sativa.L.","Tagetes.erecta.L.","Plantago.lanceolata.L.","Tropaeolum.majus.L.","Allium.cepa.L.","Viola.tricolor.L.","Capsicum.annuum.L.","Phacelia.tanacetifolia.Benth.","Phlox.paniculata.L.","Cucurbita.pepo.L..pumpkin","Echinacea.purpurea..L...Moench","Lamium.purpureum.L.","Raphanus.raphanistrum.subsp..sativus..L...Domin","Brassica.rapa.L..group","Rubus.idaeus.L.","Trifolium.pratense.L.","Capsella.bursa.pastoris..L...Medik.","Persicaria.maculosa.Gray","Sonchus.spp..L.","Cucurbita.spp.","Anthemis.cotula.L.","Cucurbita.pepo.L..straight.neck","Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier","Helianthus.annuus.L.","Tanacetum.vulgare.L.","Ocimum.basilicum.L..thai.basil","Physalis.philadelphica.Lam.","Solanum.lycopersicum.L.","Vicia.villosa.Roth","Trifolium.repens.L.","Daucus.carota.L.","Achillea.millefolium.L.","Zinnia.elegans.L.","Cucurbita.pepo.L..zucchini"
"site_1",47.75,-122.154,0,4,0,1,0,0,0,4,3,6,0,2,2,0,3,0,0,0,8,0,13,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,14,5,0,0,0,0,7,4,0,0,6,0,7,0,0,17,0
"site_3",47.57,-122.316,0,0,1,1,0,1,1,0,4,0,0,0,0,0,2,0,1,5,6,0,0,0,0,0,1,1,0,0,1,0,5,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,0,6,3,0,9,0,0,0,0,15,1,0,0,2,18,0,4,1,1,1,2
"site_5",47.057,-122.97,0,0,0,0,0,0,44,0,0,0,0,0,34,0,0,0,0,0,0,0,43,0,0,0,0,0,0,48,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,7
"site_6",47.678,-121.949,0,0,2,0,0,0,0,74,9,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,6,16,0,0,0,0,0,4,0,0,0,0,1,0,0,9,0,2,0,0,0,0,0,0,1,0,0,0,2,0,3,0,1,0,0,0,0,9,0,1,1,1,0,0,0,1,9,0
"site_7",47.063,-122.926,0,0,0,0,0,0,47,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,8,35,74,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"site_8",48.543,-122.413,0,0,0,0,0,0,0,1,13,0,4,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,3,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0
"site_10",48.471,-122.286,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0
"site_13",47.562,-122.303,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,40,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0
"site_18",47.543,-122.287,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,7,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,3,11,0,0,0,0,0,2
"site_20",47.686,-121.972,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,112,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"site_23",47.671,-121.976,0,0,0,0,2,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,52,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"site_24",47.522,-122.259,0,0,0,0,0,0,6,21,0,0,0,0,1,1,0,1,0,2,0,0,0,3,4,0,0,0,7,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,6,0,1,0,0,0,0,0,32,10,0,0,0,0,0,0
"site_25",46.801,-123.159,0,0,0,0,0,198,105,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,18,14,7,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0
"site_26",48.435,-122.394,0,0,0,0,0,11,0,8,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18,0,35,7,2,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
"site_28",47.301,-122.102,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,0,0,0,0,0,0,0,0,5,12,2,8,0,0,0,0
"site_29",47.611,-121.937,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,7,0,3,0,0,0,15,0,0,0,0,71,0,0,0,0,10,18,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"site_30",47.583,-121.916,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,8,27,13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"site_31",47.065,-122.984,0,0,0,0,0,12,0,20,0,0,3,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,66,0,20,22,2,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0
"site_33",48.461,-122.411,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,0,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1
"site_34",47.049,-122.872,0,0,0,0,0,103,0,0,1,0,0,0,3,0,0,0,0,0,10,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,37,0,0,1,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0
"site_35",47.225,-122.367,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,91,0,0,0,17,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,47,0,0,0,0,0,0,120,16,24,0,0,0,0,0,0,0,0,0,0,11,0,0,31,0
"site_36",46.807,-123.11,0,0,0,0,0,0,0,0,0,0,0,0,9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,32,18,10,0,7,0,0,0,0,0,0,0,168,3,12,0,0,0
